Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms)
Mungkin Nanti,Peterpan,Bintang Di Surga,Peterpan,5/7/2016,268226
Sempurna,Andra And The Backbone,Andra and the Backbone,Andra And The Backbone,2006,268422
Cinta Ini Membunuhku,D’MASIV,Hidup Lebih Indah,D’MASIV,5/7/2016,242080
Kekasih Gelapku,Ungu,Untukmu Selamanya,Ungu,6/8/2007,284946
Hapus Aku,Nidji,Breakthru,Nidji,5/2/2006,252613
Menjaga Hati,Yovie & Nuno,The Special One,Yovie & Nuno,10/12/2007,237400
Sephia,Sheila On 7,Kisah Klasik Untuk Masa Depan,Sheila On 7,4/10/2000,295520
Laskar Pelangi,Nidji,King of Soundtrack,Nidji,18/7/2016,232786
Tercipta Untukku,Ungu,Melayang,Ungu,7/12/2005,265560
Cinta Dalam Hati,Ungu,Untukmu Selamanya,Ungu,6/8/2007,283360
Matahariku,Agnes Monica,Agnes Is My Name,Agnes Monica,2011,266306
Terlanjur Cinta,Rossa,Rossa,Rossa,14/11/2013,265280
Rindu 1/2 Mati,D’MASIV,Hidup Lebih Indah,D’MASIV,5/7/2016,212066
Aishiteru - Version 1,Zivilia,Trilogy,Zivilia,10/6/2013,220540
Aku Jatuh Cinta,Liyana Jasmay,Aku Jatuh Cinta,Liyana Jasmay,1/1/2017,287277
Kosong,Najwa Latif,Kosong - Single,Najwa Latif,22/2/2012,201706
Aku Suka Dia,Ainan Tasneem,Aku Suka Dia,Ainan Tasneem,13/7/2015,268573
150 Juta,Ainan Tasneem,150 Juta,Ainan Tasneem,13/7/2015,231986
Hanya Kau Yang Mampu,Aizat Amdan,Percubaan Pertama,Aizat Amdan,24/6/2008,253066
Kau Aku,Aizat Amdan,Percubaan Pertama,Aizat Amdan,24/6/2008,251533
Patah Seribu,Shila Amzah,Patah Seribu,Shila Amzah,20/7/2010,236546
Sampai Syurga,Faizal Tahir,Aku Muzik Kamu,Faizal Tahir,1/1/2007,238986
Cuba,Faizal Tahir,Aku Muzik Kamu,Faizal Tahir,1/1/2007,252680
Bengang - Akustik,Akim Ahmad,Akim,Akim Ahmad,12/2/2012,225706
Jangan Nakal,Alif Satar,Nakal,Alif Satar,14/12/2009,232053
Cukup Indah,Alif Satar,Nakal,Alif Satar,14/12/2009,195653
Lelaki Seperti Aku,Alif Satar,Lelaki Seperti Aku,Alif Satar,21/10/2011,209746
Relaku Pujuk,Spider,Nazraku,Spider,25/5/2004,239960
Kau Ilhamku,Man Bai,Man Bai,Man Bai,2/8/1995,251000
Generasiku,Oag,OrAnG,Oag,1/1/2006,212960
Dunia,Bunkface,Phobia Phoney,Bunkface,29/3/2010,222640
Situasi,Bunkface,Phobia Phoney,Bunkface,29/3/2010,237893
Revolusi,Bunkface,Phobia Phoney,Bunkface,29/3/2010,202293
Jadian,The Junas Monkey,The Junas Monkey - EP,The Junas Monkey,12/1/2012,219760
Ada Apa Denganmu,Peterpan,Bintang Di Surga,Peterpan,5/7/2016,280826
Bunga-Bunga Cinta,Misha Omar,Misha,Misha Omar,7/7/2003,304746
Tiada Lagi,Amy Search,Ikon: A Rockstar Chronnicle,Amy Search,1/6/2006,336026
Tanpa,6ixth Sense,6ixth Sense,6ixth Sense,1/1/2009,251720
Ilusi,Adira,Dewi Cinta,Adira,4/3/2014,188017
